,가장 많이 참여한 여가활동 (1순위),가장 만족스런 여가활동 (1순위),응답자 성별,연령,가구 소득,여가활동을 위한 월 평균 지출액,가장 많이 참여한 1순위 여가활동 동반자1,일주일 여가시간
325,"테니스,스쿼시",21,2,1,7,50000,3,16.0
326,TV시청(IPTV포함),64,1,5,4,50000,1,16.0
327,"농구,배구,야구,축구,족구",20,1,6,3,300000,1,60.0
328,게임(온라인/모바일/콘솔게임등),59,1,3,5,100000,1,21.0
329,게임(온라인/모바일/콘솔게임등),59,1,1,5,30000,1,36.0
330,게임(온라인/모바일/콘솔게임등),20,1,2,4,200000,1,44.0
331,TV시청(IPTV포함),63,1,4,6,250000,1,25.0
332,TV시청(IPTV포함),64,1,2,3,90000,1,26.0
333,게임(온라인/모바일/콘솔게임등),59,1,1,5,40000,1,41.0
334,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,1,4,20000,1,18.0
335,"겜블(경마,경륜,카지노,카드놀이,고스톱,마작등)/복권구입",62,1,4,6,50000,1,9.0
336,게임(온라인/모바일/콘솔게임등),59,1,2,7,250000,1,28.0
337,"격투스포츠(태권도,유도,합기도,검도,권투등)",46,1,2,5,500000,4,30.0
338,TV시청(IPTV포함),73,1,4,4,100000,2,14.0
339,친구만남/이성교제/미팅/소개팅,86,1,1,7,40000,3,20.5
340,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",17,1,2,6,80000,2,39.0
341,헬스(보디빌딩)/에어로빅,29,1,4,7,150000,1,31.0
342,TV시청(IPTV포함),20,1,4,6,200000,2,18.0
343,게임(온라인/모바일/콘솔게임등),29,1,2,7,150000,1,26.0
344,친구만남/이성교제/미팅/소개팅,86,1,2,7,700000,3,25.0
345,인터넷검색/1인미디어제작/SNS,58,1,2,7,100000,1,60.0
346,TV시청(IPTV포함),20,1,4,7,200000,1,20.0
347,인터넷검색/1인미디어제작/SNS,86,1,1,7,30000,1,55.0
348,친구만남/이성교제/미팅/소개팅,87,1,2,6,50000,3,27.0
349,인터넷검색/1인미디어제작/SNS,41,1,3,6,100000,1,41.0
350,육상/조깅/속보,32,1,2,3,100000,1,9.0
351,사진촬영(디지털카메라포함),14,1,2,5,100000,3,25.0
352,"모바일컨텐츠,동영상,VOD시청",75,1,4,6,200000,1,23.0
353,친구만남/이성교제/미팅/소개팅,86,1,1,7,200000,3,32.0
354,사진촬영(디지털카메라포함),14,1,4,7,150000,4,25.0
355,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),69,1,2,4,200000,1,19.0
356,게임(온라인/모바일/콘솔게임등),59,1,2,5,100000,1,41.0
357,"겜블(경마,경륜,카지노,카드놀이,고스톱,마작등)/복권구입",62,1,4,5,50000,1,9.0
358,"모바일컨텐츠,동영상,VOD시청",75,1,4,6,300000,1,35.0
359,TV시청(IPTV포함),74,2,7,5,150000,1,42.0
360,헬스(보디빌딩)/에어로빅,29,1,4,5,100000,1,9.0
361,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),31,1,5,6,600000,3,20.0
362,"모바일컨텐츠,동영상,VOD시청",75,1,3,4,250000,1,28.0
363,인터넷검색/1인미디어제작/SNS,48,1,4,4,150000,1,23.0
364,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,1,5,100000,3,21.0
365,산책및걷기,71,1,4,3,200000,1,29.0
366,TV시청(IPTV포함),64,1,3,5,100000,2,32.0
367,"모바일컨텐츠,동영상,VOD시청",75,2,2,5,300000,1,25.0
368,"모바일컨텐츠,동영상,VOD시청",75,1,3,6,300000,1,31.0
369,"모바일컨텐츠,동영상,VOD시청",75,2,2,3,300000,1,25.0
370,"모바일컨텐츠,동영상,VOD시청",75,1,3,6,200000,1,24.0
371,"모바일컨텐츠,동영상,VOD시청",75,1,2,3,200000,1,43.0
372,"모바일컨텐츠,동영상,VOD시청",75,2,3,6,300000,1,21.0
373,"모바일컨텐츠,동영상,VOD시청",75,2,3,5,300000,1,21.0
374,TV시청(IPTV포함),75,2,2,4,250000,1,32.0
375,음주,64,1,5,4,500000,3,21.0
376,국내캠핑,41,1,3,4,500000,2,31.0
377,국내캠핑,86,1,2,5,100000,1,35.0
378,TV시청(IPTV포함),71,2,6,2,100000,1,50.0
379,"모바일컨텐츠,동영상,VOD시청",75,2,1,5,50000,1,41.0
380,"모바일컨텐츠,동영상,VOD시청",59,1,3,6,300000,1,36.0
381,등산,55,1,4,4,400000,2,45.0
382,인터넷검색/1인미디어제작/SNS,39,1,3,3,100000,1,32.0
383,TV시청(IPTV포함),74,1,6,2,30000,1,28.0
384,TV시청(IPTV포함),74,2,6,1,50000,1,51.0
385,TV시청(IPTV포함),81,2,6,4,150000,1,36.0
386,"모바일컨텐츠,동영상,VOD시청",48,1,3,4,500000,1,32.0
387,TV시청(IPTV포함),39,1,4,4,300000,2,25.0
388,인터넷검색/1인미디어제작/SNS,58,1,3,6,10000,1,28.0
389,"모바일컨텐츠,동영상,VOD시청",75,2,2,3,40000,1,25.0
390,TV시청(IPTV포함),58,2,2,3,100000,2,48.0
391,게임(온라인/모바일/콘솔게임등),59,1,2,3,100000,1,36.0
392,쇼핑/외식,63,2,2,2,100000,3,30.0
393,인터넷검색/1인미디어제작/SNS,14,1,3,5,200000,1,16.0
394,산책및걷기,55,1,5,1,100000,1,26.0
395,인터넷검색/1인미디어제작/SNS,74,1,4,7,100000,1,28.0
396,TV시청(IPTV포함),58,2,4,5,30000,1,23.0
